nr,id,name,year,type,series_1,series_2,series_3,image
197,HTB26,Ducati DesertX,2024,Mainline,HW Dirt,null,null,https://static.wikia.nocookie.net/hotwheels/images/f/fa/2024DucatiDesertX.jpg
198,HTB27,'20 Toyota Tacoma,2024,Mainline,HW Dirt,null,null,https://static.wikia.nocookie.net/hotwheels/images/f/f3/2020ToyotaTacoma.jpg
198,HTF83,'20 Toyota Tacoma (2nd Color),2024,Mainline,Red Edition,Target Exclusive,null,https://static.wikia.nocookie.net/hotwheels/images/5/53/2024_%2811-12%29_%28-198%29_%2720_Toyota_Tacoma_%28Black%29.jpg
199,HTB41,Porsche 911 Turbo 3.6 (964),2024,Mainline,Tooned,null,null,https://static.wikia.nocookie.net/hotwheels/images/7/79/1993PorscheTurbo.jpg
199,HTF84,Porsche 911 Turbo 3.6 (964) (2nd Color),2024,Mainline,Red Edition,Target Exclusive,null,https://static.wikia.nocookie.net/hotwheels/images/e/e2/2024_%2812-12%29_%28-199%29_Porsche_911_Turbo_3.6_%28964%29_%28White%29.jpg
200,HTF25,Car-de-Asada,2024,Mainline,Fast Foodie,Treasure Hunt,null,https://static.wikia.nocookie.net/hotwheels/images/e/e0/CarDeAsada.jpg
201,HTB88,'16 Bugatti Chiron,2024,Mainline,Quarter Mile Heroes,null,null,https://static.wikia.nocookie.net/hotwheels/images/7/7b/2016BugattiChiron.jpg
202,HTB94,Volkswagen ID. Buzz,2024,Mainline,HW Vans,null,null,https://static.wikia.nocookie.net/hotwheels/images/0/00/VWIDBuzz.jpg
203,HRY77,Toyota GR86 Cup,2024,Mainline,HW J-Imports,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/6/6e/ToyotaGR86Cup.jpg
204,HTC23,Lamborghini Sesto Elemento,2024,Mainline,HW Exotics,null,null,https://static.wikia.nocookie.net/hotwheels/images/3/3f/LamborghiniSesto.jpg
204,HTF55,Lamborghini Sesto Elemento (2nd Color - Zamac),2024,Mainline,HW Exotics,Walmart Exclusive,null,https://static.wikia.nocookie.net/hotwheels/images/0/01/2024_%28-12%29_Lamborghini_Sesto_Elemento_%28-204%29_%28Zamac%29.jpg
205,HRY83,Pagani Utopia,2024,Mainline,HW Exotics,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/7/77/PaganiUtopia.jpg
206,HTC60,'77 Pontiac Firebird T/A,2024,Mainline,Muscle Mania,null,null,https://static.wikia.nocookie.net/hotwheels/images/3/36/1977PontiacFirebird.jpg
206,HTF40,'77 Pontiac Firebird T/A (Super Treasure Hunt),2024,Mainline,Muscle Mania,null,null,https://static.wikia.nocookie.net/hotwheels/images/7/78/Pontiac_firebird.jpg
207,HTC67,Chevy Silverado,2024,Mainline,Then and Now,null,null,https://static.wikia.nocookie.net/hotwheels/images/e/e0/HTC67_-_Chevy_Silverado.jpg
208,HTC68,Deora II,2024,Mainline,Then and Now,null,null,https://static.wikia.nocookie.net/hotwheels/images/0/00/TekuDeoraII.jpeg
209,HRY58,Honda S800 Racing,2024,Mainline,HW Race Day,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/9/9f/HondaS800Racing.jpg
210,HTB07,'99 Ford F-150 SVT Lightning,2024,Mainline,HW: The '90s,null,null,https://static.wikia.nocookie.net/hotwheels/images/9/90/Ford_F-150_SVT_Light-99_hw.jpg
211,HTB08,'96 Nissan 180SX Type X,2024,Mainline,HW: The '90s,null,null,https://static.wikia.nocookie.net/hotwheels/images/a/a8/HTB08-LOOSE.jpg
211,HTF41,'96 Nissan 180SX Type X (Super Treasure Hunt),2024,Mainline,HW: The '90s,null,null,https://static.wikia.nocookie.net/hotwheels/images/4/47/Nissan_180SX_hw_TH.jpg
212,HTB28,Dune Daddy,2024,Mainline,HW Dirt,null,null,https://static.wikia.nocookie.net/hotwheels/images/b/bd/DirtDaddy.jpg
213,HRY85,Nissan Skyline 2000GT-R LBWK,2024,Mainline,Tooned,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/0/03/%27ToonedKenmeri.jpg
214,HTB48,Quick Bite,2024,Mainline,Fast Foodie,null,null,https://static.wikia.nocookie.net/hotwheels/images/e/e2/MilkBite.jpg
215,HTB54,'49 Drag Merc,2024,Mainline,HW Rolling Metal,null,null,https://static.wikia.nocookie.net/hotwheels/images/2/28/1949MercuryEight.jpg
216,HTF26,Hot Wheels Ford Transit Connect,2024,Mainline,HW Vans,Treasure Hunt,null,https://static.wikia.nocookie.net/hotwheels/images/f/f3/FordTransitFlowerVan.jpg
217,HRY81,Ravenger S/T,2024,Mainline,HW Track Champs,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/c/c1/RavengerST.jpg
218,HTC24,'92 Dodge Viper RT/10,2024,Mainline,HW Exotics,null,null,https://static.wikia.nocookie.net/hotwheels/images/d/d1/1992DodgeViper.jpg
219,HRY86,Aston Martin DB4GT High-Speed Edition,2024,Mainline,Muscle Mania,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/e/eb/AstonMartinDB4Racer.jpg
220,HTC69,'67 Ford GT40 Mk.IV,2024,Mainline,Then and Now,null,null,https://static.wikia.nocookie.net/hotwheels/images/4/45/FordMark4.jpg
220,HTF56,'67 Ford GT40 Mk.IV (2nd Color - Zamac),2024,Mainline,Then and Now,Walmart Exclusive,null,https://hwheadline.com/content/images/2024/11/24-Zamac-67-Ford-GT40-Mk-IV-2-1.jpg
221,HTC70,Deora III,2024,Mainline,Then and Now,null,null,https://static.wikia.nocookie.net/hotwheels/images/9/9e/24DeoraIII.jpeg
222,HRY87,Lamborghini Huracán Sterrato,2024,Mainline,HW Dirt,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/1/1f/LamborghiniHurac%C3%A1nSterrato.jpg
223,HTB29,Hover Storm,2024,Mainline,HW Dirt,null,null,https://static.wikia.nocookie.net/hotwheels/images/c/cd/2024_Hover_Storm.jpeg
224,HTF27,'94 Toyota Supra,2024,Mainline,Tooned,null,null,https://static.wikia.nocookie.net/hotwheels/images/1/10/%27ToonedSlapJackSupra.jpg
225,HRY88,Sushi Tuner,2024,Mainline,Fast Foodie,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/5/5c/SushiTuner.jpg
